#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:15.82 aq:0.39 tex:1695 mv:1322 misc:119 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:15.82 aq:5.78 tex:476 mv:370 misc:410 imb:522 pmb:80 smb:2998 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:15.82 aq:0.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:15.82 aq:1.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:15.82 aq:1.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:15.18 aq:6.27 tex:126 mv:7 misc:283 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:15.50 aq:0.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:15.66 aq:1.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:15.34 aq:0.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:14.50 aq:5.96 tex:343 mv:39 misc:314 imb:4 pmb:0 smb:3596 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:14.84 aq:0.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:3600 d:- ref:0 ;
